timestamp,min,max,avg,mode,number_of_packets
1710232620.0,-51.0,-46.0,-47.98466780238501,-48.0,587.0
1710232680.0,-51.0,-48.0,-48.0291095890411,-48.0,584.0
1710232740.0,-49.0,-47.0,-48.0,-48.0,585.0
1710232800.0,-52.0,-46.0,-48.02401372212693,-48.0,583.0
1710232860.0,-49.0,-46.0,-47.98823529411764,-48.0,595.0
1710232920.0,-51.0,-45.0,-47.993299832495815,-48.0,597.0
1710232980.0,-50.0,-46.0,-48.02051282051282,-48.0,585.0
1710233040.0,-52.0,-46.0,-47.986324786324786,-48.0,585.0
1710233100.0,-51.0,-46.0,-48.00854700854701,-48.0,585.0
1710233160.0,-52.0,-46.0,-48.00689655172414,-48.0,580.0
1710233220.0,-49.0,-46.0,-48.024096385542165,-48.0,581.0
1710233280.0,-49.0,-46.0,-48.05034722222222,-48.0,576.0
1710233340.0,-51.0,-46.0,-47.9641638225256,-48.0,586.0
1710233400.0,-49.0,-46.0,-47.96795952782462,-48.0,593.0
1710233460.0,-49.0,-46.0,-48.052532833020635,-48.0,533.0
1710233520.0,-49.0,-46.0,-48.02915951972556,-48.0,583.0
1710233580.0,-49.0,-46.0,-47.99828473413379,-48.0,583.0
1710233640.0,-52.0,-46.0,-48.03760683760684,-48.0,585.0
1710233700.0,-53.0,-46.0,-48.100682593856654,-48.0,586.0
1710233760.0,-53.0,-46.0,-48.27444253859348,-48.0,583.0
1710233820.0,-49.0,-46.0,-48.10238907849829,-48.0,586.0
1710233880.0,-49.0,-46.0,-48.03595890410959,-48.0,584.0
1710233940.0,-51.0,-46.0,-48.10507880910683,-48.0,571.0
1710234000.0,-53.0,-46.0,-48.09044368600683,-48.0,586.0
1710234060.0,-49.0,-46.0,-48.311531841652325,-48.0,581.0
1710234120.0,-52.0,-46.0,-48.18181818181818,-48.0,583.0
1710234180.0,-49.0,-46.0,-48.11243611584327,-48.0,587.0
1710234240.0,-52.0,-46.0,-48.21342512908778,-48.0,581.0
1710234300.0,-51.0,-46.0,-48.16013628620102,-48.0,587.0
1710234360.0,-53.0,-46.0,-48.271186440677965,-48.0,590.0
1710234420.0,-49.0,-46.0,-48.1982905982906,-48.0,585.0
1710234480.0,-53.0,-46.0,-48.14017094017094,-48.0,585.0
1710234540.0,-49.0,-46.0,-48.18867924528302,-48.0,583.0
1710234600.0,-53.0,-46.0,-48.303030303030305,-48.0,561.0
1710234660.0,-49.0,-46.0,-48.23898305084746,-48.0,590.0
1710234720.0,-50.0,-46.0,-48.09450171821306,-48.0,582.0
1710234780.0,-52.0,-46.0,-48.17838765008576,-48.0,583.0
1710234840.0,-49.0,-47.0,-48.27350427350427,-48.0,585.0
1710234900.0,-50.0,-46.0,-48.25728987993139,-48.0,583.0
1710234960.0,-49.0,-46.0,-48.15371621621622,-48.0,592.0
1710235020.0,-49.0,-46.0,-48.19896193771626,-48.0,578.0
1710235080.0,-52.0,-46.0,-48.15679442508711,-48.0,574.0
1710235140.0,-49.0,-46.0,-48.37118644067797,-48.0,590.0
1710235200.0,-53.0,-46.0,-48.32695652173913,-48.0,575.0
1710235260.0,-53.0,-46.0,-48.32423208191126,-48.0,586.0
1710235320.0,-52.0,-46.0,-48.351351351351354,-48.0,592.0
1710235380.0,-52.0,-46.0,-48.20552677029361,-48.0,579.0
1710235440.0,-53.0,-46.0,-48.250425894378196,-48.0,587.0
1710235500.0,-51.0,-46.0,-48.14358974358974,-48.0,585.0
1710235560.0,-53.0,-46.0,-48.042808219178085,-48.0,584.0
1710235620.0,-54.0,-46.0,-48.010327022375215,-48.0,581.0
1710235680.0,-52.0,-46.0,-48.05172413793103,-48.0,580.0
1710235740.0,-50.0,-46.0,-48.089193825042884,-48.0,583.0
1710235800.0,-50.0,-46.0,-48.103270223752155,-48.0,581.0
1710235860.0,-53.0,-46.0,-48.02413793103448,-48.0,580.0
1710235920.0,-50.0,-46.0,-48.00212765957447,-48.0,470.0
1710235980.0,-50.0,-46.0,-48.25342465753425,-48.0,584.0
1710236040.0,-53.0,-46.0,-48.09965635738832,-48.0,582.0
1710236100.0,-50.0,-46.0,-48.03763440860215,-48.0,558.0
1710236160.0,-50.0,-46.0,-48.09289617486339,-48.0,549.0
1710236220.0,-50.0,-46.0,-48.10726643598616,-48.0,578.0
1710236280.0,-49.0,-46.0,-48.202749140893474,-48.0,582.0
1710236340.0,-49.0,-46.0,-48.02758620689655,-48.0,580.0
1710236400.0,-49.0,-46.0,-48.05328596802842,-48.0,563.0
1710236460.0,-49.0,-47.0,-48.043243243243246,-48.0,555.0
1710236520.0,-49.0,-46.0,-48.12974051896207,-48.0,501.0
1710236580.0,-50.0,-46.0,-48.23916811091854,-48.0,577.0
1710236640.0,-53.0,-45.0,-48.073756432246995,-48.0,583.0
1710236700.0,-49.0,-46.0,-48.03294573643411,-48.0,516.0
1710236760.0,-49.0,-47.0,-48.070422535211264,-48.0,568.0
1710236820.0,-49.0,-46.0,-48.11858407079646,-48.0,565.0
1710236880.0,-49.0,-45.0,-48.0,-48.0,585.0
1710236940.0,-53.0,-46.0,-48.04317789291883,-48.0,579.0
1710237000.0,-52.0,-46.0,-48.24408014571949,-48.0,549.0
1710237060.0,-52.0,-46.0,-48.04804270462633,-48.0,562.0
1710237120.0,-52.0,-46.0,-48.26223776223776,-48.0,572.0
1710237180.0,-50.0,-46.0,-48.00343642611684,-48.0,582.0
1710237240.0,-49.0,-46.0,-48.077452667814114,-48.0,581.0
1710237300.0,-52.0,-46.0,-48.098106712564544,-48.0,581.0
1710237360.0,-53.0,-46.0,-48.17157712305026,-48.0,577.0
1710237420.0,-49.0,-46.0,-48.276106194690264,-48.0,565.0
1710237480.0,-49.0,-47.0,-48.190019193857964,-48.0,521.0
1710237540.0,-49.0,-46.0,-48.084210526315786,-48.0,570.0
1710237600.0,-52.0,-47.0,-48.100182149362475,-48.0,549.0
1710237660.0,-52.0,-46.0,-48.11607142857143,-48.0,560.0
1710237720.0,-52.0,-46.0,-48.06181818181818,-48.0,550.0
1710237780.0,-49.0,-46.0,-48.16100178890876,-48.0,559.0
1710237840.0,-51.0,-46.0,-48.03281519861831,-48.0,579.0
1710237900.0,-50.0,-46.0,-48.15544041450777,-48.0,579.0
1710237960.0,-53.0,-46.0,-48.178107606679035,-48.0,539.0
1710238020.0,-49.0,-46.0,-48.23711340206186,-48.0,582.0
1710238080.0,-49.0,-46.0,-48.21678321678322,-48.0,572.0
1710238140.0,-50.0,-46.0,-48.157243816254415,-48.0,566.0
1710238200.0,-50.0,-45.0,-48.26375711574953,-48.0,527.0
1710238260.0,-49.0,-46.0,-48.274193548387096,-48.0,558.0
1710238320.0,-51.0,-46.0,-48.075043630017454,-48.0,573.0
1710238380.0,-52.0,-46.0,-48.1265164644714,-48.0,577.0
1710238440.0,-51.0,-45.0,-48.04424778761062,-48.0,565.0
